codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario;
;2933307;Vitória da Conquista;-148.615;-408.442;0;29;3965;77;America/Sao_Paulo
;4323754;Vitória das Missões;-283.516;-54.504;0;43;6053;55;America/Sao_Paulo
;2616407;Vitória de Santo Antão;-812.819;-352.976;0;26;2627;81;America/Sao_Paulo
;1600808;Vitória do Jari;-0.938;-52.424;0;16;70;96;America/Sao_Paulo
;2112902;Vitória do Mearim;-345.125;-448.643;0;21;951;98;America/Sao_Paulo
;1508357;Vitória do Xingu;-287.922;-520.088;0;15;641;93;America/Sao_Paulo
;4128708;Vitorino;-262.683;-527.843;0;41;7947;46;America/Sao_Paulo
;2113009;Vitorino Freire;-428.184;-452.505;0;21;953;98;America/Sao_Paulo
;3172103;Volta Grande;-217.671;-425.375;0;31;5443;32;America/Sao_Paulo
;3306305;Volta Redonda;-225.202;-440.996;0;33;5925;24;America/Sao_Paulo
;3557006;Votorantim;-235.446;-474.388;0;35;7243;15;America/Sao_Paulo
;3557105;Votuporanga;-204.237;-499.781;0;35;7245;17;America/Sao_Paulo
;2933406;Wagner;-122.819;-411.715;0;29;3967;75;America/Sao_Paulo
;2211704;Wall Ferraz;-723.151;-41.905;0;22;410;89;America/Sao_Paulo
;1722081;Wanderlândia;-685.274;-479.601;0;17;9665;63;America/Sao_Paulo
;2933455;Wanderley;-121.144;-438.958;0;29;3999;77;America/Sao_Paulo
;3172202;Wenceslau Braz;-225.368;-453.626;0;31;5421;35;America/Sao_Paulo
;4128500;Wenceslau Braz;-238.742;-498.032;0;41;7943;43;America/Sao_Paulo
;2933505;Wenceslau Guimarães;-136.908;-394.762;0;29;3969;73;America/Sao_Paulo
;4323770;Westfália;-294.263;-517.645;0;43;1176;51;America/Sao_Paulo
;4219408;Witmarsum;-269.275;-497.947;0;42;8381;47;America/Sao_Paulo
;1722107;Xambioá;-64.141;-48.532;0;17;9643;63;America/Sao_Paulo
;4128807;Xambrê;-237.364;-534.884;0;41;7949;44;America/Sao_Paulo
;4323804;Xangri-lá;-298.065;-500.519;0;43;5785;51;America/Sao_Paulo
;4219507;Xanxerê;-268.747;-524.036;0;42;8383;49;America/Sao_Paulo
;1200708;Xapuri;-106.516;-684.969;0;12;149;68;America/Rio_Branco
;4219606;Xavantina;-270.667;-52.343;0;42;8385;49;America/Sao_Paulo
;4219705;Xaxim;-269.596;-525.374;0;42;8387;49;America/Sao_Paulo
;2616506;Xexéu;-88.046;-356.212;0;26;2293;81;America/Sao_Paulo
;1508407;Xinguara;-70.983;-499.437;0;15;571;94;America/Sao_Paulo
;2933604;Xique-Xique;-10.823;-427.245;0;29;3971;74;America/Sao_Paulo
;2517407;Zabelê;-807.901;-371.057;0;25;542;83;America/Sao_Paulo
;3557154;Zacarias;-210.506;-500.552;0;35;2973;18;America/Sao_Paulo
;2114007;Zé Doca;-327.014;-456.553;0;21;1287;98;America/Sao_Paulo
;4219853;Zortéa;-274.521;-51.552;0;42;950;49;America/Sao_Paulo
